"시점","행정구역(시군구)별","성별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2021","전국","계",51333252.5,1603407.5,2259652.5,2347218,2395066,3175015,3529975,3162503.5,3590685.5,3924880,4227626.5,4422823,4118758.5,3997811.5,2881870,2075136.5,1597970,2022853.5,1163257.5,859596,603274.5,205711,44029,6581.5
"2021","전국","남자",25589102,822670.5,1158010.5,1208122.5,1242509,1654306.5,1864933.5,1646546.5,1836896,1995164,2145192,2228227,2081329.5,1976075,1390963.5,970430,688442,679284,439372,239912,184245.5,46457.5,8189,1020
"2021","전국","여자",25744150.5,780737,1101642,1139095.5,1152557,1520708.5,1665041.5,1515957,1753789.5,1929716,2082434.5,2194596,2037429,2021736.5,1490906.5,1104706.5,909528,1343569.5,723885.5,619684,419029,159253.5,35840,5561.5
"2021","서울특별시","계",9453878,257416.5,345579,368547,397353.5,613102.5,819668.5,725415,718262.5,718342,762370,777551.5,706599,702787.5,535174,392366.5,293549.5,319793.5,189601,130192.5,90257.5,31768.5,7074.5,1092
"2021","서울특별시","남자",4593754,132592.5,177071,189343.5,203647,291759.5,400274,362205.5,359548,355915.5,377109.5,382401,346409,333694.5,250507,180478.5,131766.5,119031.5,78511,40520.5,30666.5,8102,1536.5,215.5
"2021","서울특별시","여자",4860124,124824,168508,179203.5,193706.5,321343,419394.5,363209.5,358714.5,362426.5,385260.5,395150.5,360190,369093,284667,211888,161783,200762,111090,89672,59591,23666.5,5538,876.5
"2021","부산광역시","계",3343353,92557.5,133319,131855,136732.5,199596,222307,191592.5,217818,243834.5,257729.5,279468,275649.5,298935.5,235574,170916,122161,133307.5,81184,52123.5,37302,12110.5,2380,331
"2021","부산광역시","남자",1636288,47435,68465.5,67759.5,70831.5,102733,116500.5,98783.5,110839.5,123712.5,128989.5,136366,133163,141738,110856,78533,53778,45804,31344.5,14459.5,11385.5,2625.5,400.5,48
"2021","부산광역시","여자",1707065,45122.5,64853.5,64095.5,65901,96863,105806.5,92809,106978.5,120122,128740,143102,142486.5,157197.5,124718,92383,68383,87503.5,49839.5,37664,25916.5,9485,1979.5,283
"2021","대구광역시","계",2387449.5,70270,102692,106762.5,115213.5,154960.5,159379.5,135086,152897.5,175551,199672,216209,202386.5,190708.5,140803,101436,74089,89333,53237.5,36095.5,26425,7948.5,1517.5,204.5
"2021","대구광역시","남자",1176548.5,36087,52514,55162.5,60714,81880,85731.5,72660,77689,87090.5,97908,105535,98990,92092.5,65556.5,45812,31052,30074,19770,10304,8260,1743,276.5,24.5
"2021","대구광역시","여자",1210901,34183,50178,51600,54499.5,73080.5,73648,62426,75208.5,88460.5,101764,110674,103396.5,98616,75246.5,55624,43037,59259,33467.5,25791.5,18165,6205.5,1241,180
"2021","인천광역시","계",2921874.5,92515,130349,135499,136562.5,181250.5,213285.5,188363,212511,232310.5,245374.5,256590,248837,229331,150082.5,101665,75214,92134.5,52019,40115.5,27501.5,9983.5,2292.5,338
"2021","인천광역시","남자",1462112.5,47615,66762.5,69500.5,70408.5,93888,111752.5,98076.5,109310.5,119271.5,124895,127190.5,124751.5,114554,73204.5,48166,32642,30123.5,19359,10764.5,8137.5,2151,416,60
"2021","인천광역시","여자",1459762,44900,63586.5,65998.5,66154,87362.5,101533,90286.5,103200.5,113039,120479.5,129399.5,124085.5,114777,76878,53499,42572,62011,32660,29351,19364,7832.5,1876.5,278
